keyword,url,title,path
tampa city employees pension fund,http://www.pewtrusts.org/~/media/legacy/uploadedfiles/pcs_assets/2013/pewcitypensionsbriefpdf.pdf,Cities Squeezed by Pension and Retiree Health Care Shortfalls,full/dd91ff537fddf05cb60caaa73ed64ca914206c3f.pdf
tampa city employees pension fund,https://publicplaniq.com/wp-content/uploads/2013/10/ppiq-list_plans-monitored2017.pdf,Plans Monitored,full/a189585ca5884a70177ebe1eb435c572f60534b2.pdf
south st paul policemens relief association,https://publicplaniq.com/wp-content/uploads/2013/10/ppiq-list_plans-monitored2017.pdf,Plans Monitored,full/a189585ca5884a70177ebe1eb435c572f60534b2.pdf
al employees retirement system,https://www.supremecourt.gov/opinions/16pdf/16-373_pm02.pdf,"California Public Employees' Retirement System v. ANZ Securities, Inc.",full/1b0f9569bcda8484c5a5ddb16fa7d6b2c91123e9.pdf
phenix city police and firemens pension system,http://ethics.alabama.gov/docs/LobbyList/2016_Lobb_List_Arch_12_30_16.pdf,2016 Registered Lobbyist List,full/5d1b6e8dcdf86912b0c788fccb9b05b1b8c0be60.pdf
tampa city employees pension fund,https://www.tampagov.net/sites/default/files/20150910-court-ordered-payments-marital-separation_0.pdf,CITY PENSION FUND FOR FIREFIGHTERS AND POLICE ...,full/2658e2e1838648ae656df7eb1b348b45d09780cb.pdf
denver board of water commisioners retirement plan trust fund,https://publicplaniq.com/wp-content/uploads/2013/10/ppiq-list_plans-monitored2017.pdf,Plans Monitored,full/a189585ca5884a70177ebe1eb435c572f60534b2.pdf
bastrop firemens pension and relief fund,http://www.legis.la.gov/legis/ViewDocument.aspx?d=725050,(RS 13:3881(A) and RS 20:33),full/250f4ccc75e0c2ecac748f0530a45fcac932f425.aspx?d=725050
tampa city employees pension fund,http://crr.bc.edu/wp-content/uploads/2017/12/slp58.pdf,the funded status of local pensions inches closer to states,full/5539f050b446e08c1cb04effa795bdd29c2ca008.pdf
al employees retirement system,http://securities.stanford.edu/filings-documents/1061/EIp00_04/2017828_f01x_17CV01466.pdf,"Public Employees' Retirement System of Mississippi, et al. v. Endo ...",full/d5c0df2e85477b6e62b164c5077bc1247a8655fd.pdf
tampa city employees pension fund,https://www.tampagov.net/sites/default/files/general-employee-retirement-fund/files/2011-retirement-plan-2nd-print-final-12-10-12.pdf,sites/default/files/general-employee-retirement-fund/files/2011 ...,full/cf2e1870c86f68b2c245f49d8274abb51ee9c173.pdf
al teachers retirement system,https://trojan.troy.edu/hr/forms/RSA.pdf,TRS Enrollment Form,full/e1ccb5d3f4cc7d78589734637abd5be0ad0d55ae.pdf
south st paul policemens relief association,https://www.politico.com/states/f/?id=0000015f-cbb8-da42-a7ff-efff7e670000,Murphy Transition2018 committee memberships,full/ad9e76195c1b43a05c5ac1407b37b3ce57cf2ba1
al employees retirement system,https://marionmilitary.edu/wp-content/uploads/2017/09/Address-Change-Notification-2.pdf,RETIREMENT SYSTEMS OF ALABAMA,full/de6629804defaee383b75df1b7a87498f322e42b.pdf
al teachers retirement system,https://marionmilitary.edu/wp-content/uploads/2017/09/Address-Change-Notification-2.pdf,RETIREMENT SYSTEMS OF ALABAMA,full/de6629804defaee383b75df1b7a87498f322e42b.pdf
tampa city employees pension fund,https://www.lris.com/wp-content/uploads/contracts/tampa_fl_police_lts.pdf,AGREEMENT between CITY OF TAMPA and TAMPA POLICE ...,full/d398c0ccaafe5a548c8caadbe5b4091c4702e657.pdf
tallahassee police retirement fund,https://www.ice.gov/doclib/foia/icefoialogs/foialogseptember2007tonovember2008.pdf,FY Case Number Date Received First Name Last Name Company ...,full/fb720b3882a9dbe34ac5d078b42372a372bbfcb8.pdf
bastrop firemens pension and relief fund,http://www.redcross.org/images/MEDIA_CustomProductCatalog/m18071523_Red-Cross-2012.AnnualReport.pdf,2012 Annual Report,full/f9090ba1fb2e1612589a66ddadedcee766391c44.pdf
tallahassee general retirement fund,https://www.myfrs.com/pdf/employerhandbook/GeneralInformation.pdf,Chapter 2 General Information,full/7ae7990d5256ca5a979f9e3fd79c08b2bc577c8d.pdf
west virginia public employees retirement system,https://www.wvretirement.com/Forms/2015-PERSenroll.pdf,PUBLIC EMPLOYEES RETIREMENT SYSTEM (PERS ...,full/3dcf0b7c41f4955cf83bf9e95bcbbafa150e6edc.pdf
west tennessee healthcare pension plan,http://ikrlaw.com/wp-content/uploads/2017/05/1-Complaint.pdf,UNITED STATES DISTRICT COURT WESTERN DISTRICT OF ...,full/0f74deac14509448a1daed6dd0021c41a061d042.pdf
bastrop firemens pension and relief fund,http://www.ttara.org/files/document/file-52fb99dc0cdd1.pdf,The 2014-15 Texas State Budget: Assessing the Numbers,full/23390efc4cb83a8dfa62c769779456f2320d4a27.pdf
west tennessee healthcare pension plan,https://www.pbgc.gov/documents/finding-a-lost-pension.pdf,Finding a Lost Pension,full/1ef3d47674586d3a8d33198711b2dc5583655676.pdf
davie general retirement fund,https://www.legalandgeneralgroup.com/media/1170/credit_scenario_education_event_presentation.pdf,Capital Markets Event 2017 Presentation,full/bb6170318d32f97c7673a2e098871e48643a6c18.pdf
costa mesa city retirement plan,http://www.costamesaca.gov/ftp/council/agenda/2017/2017-04-18/NB-2.pdf,agenda format,full/f7d1abad64b5da34276471717960b6177fb6d049.pdf
west tennessee healthcare pension plan,https://hab.hrsa.gov/sites/default/files/hab/program-grants-management/audits/part-d/tennesseelebonheur2012.pdf,METHODIST LE BONHEUR HEALTHCARE AND AFFILIATES ...,full/0397131925466f0699bcca135535274c51df9297.pdf
phenix city police and firemens pension system,http://www.archives.alabama.gov/officials/rdas/local/munRDA.pdf,MUNICIPALITIES Records Disposition Authority,full/7b5cdf1bc9cd970debc7c0cc09a60e90394eef76.pdf
costa mesa city retirement plan,http://www.costamesaca.gov/ftp/council/agenda/2015/2015-05-12-SS/Item-1-Attach-1.pdf,CITY MANAGER'S BUDGET MESSAGE,full/7d7426889c1c265e0850b8eaf914c44d756d3835.pdf
denver board of water commisioners retirement plan trust fund,https://www.cms.gov/Medicare/Prescription-Drug-Coverage/EmployerRetireeDrugSubsid/downloads/RDS_Sponsors_PY08_10_06_08.pdf,The plan sponsors listed below have at least one application for the ...,full/c977b22182937e3680f98820359d9046f8d670f7.pdf
